STRASSE,HAUSNUMMER,PLZ,ORT,LAT,LON,SOURCE,OSM_ID
Ackergasse,3,,,46.7227833,14.1101063,node,4534995398
Korngasse,3,,,46.7227102,14.1106886,node,4534995399
Kirchgasse,7,,,46.7248634,14.0927657,node,4534995401
Kirchgasse,5,,,46.7247979,14.0929391,node,4534995402
Schillerplatz,6,,,46.7247834,14.0930968,node,4534995403
Klagenfurter Straße,75a,,,46.6974722,14.1147568,node,4534995426
Gewerbestraße,5,,,46.6940425,14.1297443,node,4535664038
Bambergerplatz,9a,9560,Feldkirchen in Kärnten,46.7250903,14.0920022,node,4540352761
Bambergerplatz,9,,,46.725075,14.0923624,node,4540352762
Bahnhofstraße,12,,,46.7237654,14.0941118,node,4540352764
Bahnhofstraße,11a,,,46.7236328,14.0938223,node,4540352765
Bahnhofstraße,11,,,46.7237625,14.0939554,node,4540352766
Bahnhofstraße,13,,,46.7236683,14.0941112,node,4540352767
Bahnhofstraße,9,,,46.723846,14.0937271,node,4540352768
Bahnhofstraße,8,,,46.7239616,14.0935521,node,4540352769
Bahnhofstraße,7,,,46.7240507,14.0933328,node,4540352770
Bahnhofstraße,6,,,46.7240025,14.0928173,node,4540352771
Bahnhofstraße,3a,9560,Feldkirchen in Kärnten,46.7243622,14.0930336,node,4540352776
Dietrichsteiner Straße,19,,,46.7254422,14.1072944,node,4540353992
Flatschach,2,,,46.7032065,14.23323,node,4544848195
,5,,Sankt Gandolf,46.7079386,14.2016084,node,4544848200
Schubertstraße,2,,,46.7239883,14.1014561,node,4556254042
,55,9555,Glanegg,46.7190663,14.2241832,node,4730944595
Glanegg,26,,,46.7164695,14.216603,node,4730944596
Glanegg,17,,,46.7185878,14.21299,node,4730944597
Glanegg,50,,,46.7182421,14.2123823,node,4730944598
Glanegg,7,,,46.7183056,14.2120887,node,4730944599
Maria-Feicht,49,,,46.7062896,14.214797,node,4730944605
Kadöll,34,,,46.7221815,14.2117204,node,4730944606
Kadöll,6,,,46.7253927,14.2179387,node,4730944607
Hauptplatz,8,9560,Feldkirchen in Kärnten,46.7232443,14.0925193,node,4775013121
Kindergartenstraße,4,,,46.7237409,14.0854407,node,4820921016
Kindergartenstraße,11,,,46.7240011,14.0848998,node,4820921621
Kindergartenstraße,13,,,46.7238616,14.0850889,node,4820921622
Kindergartenstraße,15,,,46.7237248,14.0852741,node,4820921623
Kindergartenstraße,17,,,46.723482,14.0852962,node,4820921626
Kindergartenstraße,21,,,46.7231626,14.085604,node,4820921627
Kindergartenstraße,19,,,46.7233227,14.0854492,node,4820921628
Himmelberger Straße,1,,,46.7238396,14.0902502,node,4820921638
Villacher Straße,10,,,46.7237375,14.0904219,node,4820921639
Villacher Straße,9,,,46.7236757,14.0906345,node,4820921640
St. Ruprechter Straße,18,,,46.7242361,14.1025894,node,4820921641
St. Ruprechter Straße,20,,,46.7249864,14.1031245,node,4820921642
Untere Tiebelgasse,1,,,46.7252509,14.0961342,node,4821313138
Kirchgasse,22,,,46.7260012,14.093225,node,4821313142
Kirchgasse,17,,,46.7257149,14.0930572,node,4821313143
Kirchgasse,8,,,46.7249969,14.0926709,node,4821313144
Kirchgasse,3,,,46.7245867,14.0924603,node,4821313145
Kirchgasse,1,,,46.7244349,14.0922444,node,4821313146
Villacher Straße,4,,,46.7242046,14.0914039,node,4826763178
Villacher Straße,1,,,46.7239784,14.0916045,node,4826763179
Alte Villacher Straße,15,,,46.7189766,14.0811363,node,4826763184
Kindergartenstraße,1,9560,Feldkirchen in Kärnten,46.7241706,14.0882675,node,4836650434
Alte Villacher Straße,7,,,46.7198452,14.0851703,node,4836650435
Laboisnerstraße,11,,,46.719264,14.1068652,node,4836683673
Himmelberger Straße,2,9560,Feldkirchen in Kärnten,46.7245853,14.0905892,node,4837681145
Himmelberger Straße,4a,9560,Feldkirchen in Kärnten,46.7254553,14.0884105,node,4837681146
Ossiacherstraße,1,9560,Feldkirchen in Kärnten,46.7234194,14.0916263,node,4837681147
Ossiacherstraße,2,9560,Feldkirchen in Kärnten,46.7233109,14.0915615,node,4837681148
Heftgasse,2,9560,Feldkirchen in Kärnten,46.7232683,14.0911955,node,4837681149
Schüttgasse,4,9560,Feldkirchen in Kärnten,46.7200253,14.0956675,node,4837681163
Schlossblick,12,9560,Feldkirchen in Kärnten,46.6910276,14.1153945,node,4846557470
Friedlach,15,9560,Glanegg,46.7279976,14.203267,node,4848122676
Dorfstraße,50,9552,Steindorf am Ossiacher See,46.6979597,14.0072989,node,4853582911
Friedlach,84,9560,Glanegg,46.7256353,14.1956251,node,4856366901
Unterglanegg,11,9560,Glanegg,46.7300364,14.1673147,node,4858169140
Gendarmeriegasse,1,9560,Feldkirchen in Kärnten,46.7258439,14.0905558,node,4957611601
Obere Tiebelgasse,17,9560,Feldkirchen in Kärnten,46.7199159,14.0932592,node,4957611602
10.-Oktober-Straße,28,9560,Feldkirchen in Kärnten,46.7228938,14.096178,node,4957611604
Norika,5,9560,Feldkirchen in Kärnten,46.7205639,14.0986442,node,4957611605
Norika,4,9560,Feldkirchen in Kärnten,46.720546,14.0986355,node,4957611607
Norika,1,9560,Feldkirchen in Kärnten,46.7206201,14.0983049,node,4957611609
10.-Oktober-Straße,2a,9560,Feldkirchen in Kärnten,46.7245727,14.0931442,node,4957611610
St. Ruprechter Straße,19,9560,Feldkirchen in Kärnten,46.7243181,14.1015261,node,4957611824
Muldenweg,8,9560,Feldkirchen in Kärnten,46.7170706,14.0963846,node,4957611825
St. Ruprechter Straße,3,9560,Feldkirchen in Kärnten,46.7241784,14.0973077,node,4957611826
Kanaltalerhof,8,9560,Feldkirchen in Kärnten,46.72392,14.0985345,node,4957611827
Kanaltalerhof,7,9560,Feldkirchen in Kärnten,46.7237849,14.0985588,node,4957611828
Kanaltalerhof,6,9560,Feldkirchen in Kärnten,46.7236319,14.0985697,node,4957611829
Kanaltalerhof,5,9560,Feldkirchen in Kärnten,46.7235148,14.0985811,node,4957611830
Kanaltalerhof,4,9560,Feldkirchen in Kärnten,46.7233807,14.0984615,node,4957611831
Kanaltalerhof,3,9560,Feldkirchen in Kärnten,46.7235006,14.0980185,node,4957611832
Kanaltalerhof,2,9560,Feldkirchen in Kärnten,46.7236626,14.0980077,node,4957611833
Schulhausgasse,7,9560,Feldkirchen in Kärnten,46.7261152,14.0938401,node,4957611834
Kanaltalerhof,1,9560,Feldkirchen in Kärnten,46.7238067,14.0979835,node,4957611835
Schillerplatz,2,9560,Feldkirchen in Kärnten,46.7246294,14.0929371,node,4957611840
Industriestraße,20,9560,Feldkirchen in Kärnten,46.7192016,14.1007841,node,4957611841
Rauterplatz,4,9560,Feldkirchen in Kärnten,46.7244016,14.0923801,node,4957611842
Rauterplatz,3,9560,Feldkirchen in Kärnten,46.7241425,14.0921018,node,4957611843
,7,9560,Unterrain,46.7167481,14.0893827,node,4957611845
Grenzgasse,13,9560,Feldkirchen in Kärnten,46.7288366,14.0896294,node,4957611850
Grabenweg,6,9560,Feldkirchen in Kärnten,46.7264232,14.1064363,node,4957611852
Grabenweg,1,9560,Feldkirchen in Kärnten,46.7253983,14.1055537,node,4957611853
Lindl,12,9560,Feldkirchen in Kärnten,46.7197208,14.0956201,node,4957611854
Lindl,11,9560,Feldkirchen in Kärnten,46.7196563,14.0953942,node,4957611855
Lindl,10,9560,Feldkirchen in Kärnten,46.7196735,14.0956219,node,4957611856
Lindl,9,9560,Feldkirchen in Kärnten,46.7194767,14.0957358,node,4957611857
Lindl,8,9560,Feldkirchen in Kärnten,46.7192113,14.0955238,node,4957611858
Lindl,7,9560,Feldkirchen in Kärnten,46.7192705,14.0956307,node,4957611859
Lindl,6b,9560,Feldkirchen in Kärnten,46.7193806,14.0963558,node,4957611860
Lindl,6a,9560,Feldkirchen in Kärnten,46.7194468,14.0965162,node,4957611861
Lindl,6,9560,Feldkirchen in Kärnten,46.7196068,14.0964725,node,4957611862
Lindl,4,9560,Feldkirchen in Kärnten,46.7200262,14.0956282,node,4957611865
Bahnweg,11b,9560,Feldkirchen in Kärnten,46.7181748,14.1047482,node,4957611866
Lindl,3,9560,Feldkirchen in Kärnten,46.7200331,14.0961522,node,4957611867
Bahnhofstraße,17,9560,Feldkirchen in Kärnten,46.7234332,14.0948733,node,4957611868
Lindl,2,9560,Feldkirchen in Kärnten,46.7199529,14.0958234,node,4957611869
Lindl,1,9560,Feldkirchen in Kärnten,46.7199492,14.0963858,node,4957611870
Helmut-Wobisch-Weg,21,9551,Steindorf am Ossiacher See,46.6901468,13.9852125,node,4966916526
Helmut-Wobisch-Weg,20,9551,Steindorf am Ossiacher See,46.6901615,13.9851126,node,4966916527
Helmut-Wobisch-Weg,19,9551,Steindorf am Ossiacher See,46.6901709,13.9850073,node,4966916528
,13,9560,Markstein,46.7090632,14.1039263,node,5260941024
,9,9560,Rottendorf,46.7120307,14.0973889,node,5260941025
,26,9560,Unterrain,46.7148506,14.0875736,node,5260941029
Himmelberger Straße,7,9560,Feldkirchen in Kärnten,46.7243466,14.0892057,node,5260941041
Zehenthofgasse,1a,9560,Feldkirchen in Kärnten,46.7215879,14.0925302,node,5260941045
Zehenthofgasse,1,9560,Feldkirchen in Kärnten,46.7215005,14.0927097,node,5260941046
Obere Tiebelgasse,8,9560,Feldkirchen in Kärnten,46.7232067,14.0935404,node,5260941048
Obere Tiebelgasse,12,9560,Feldkirchen in Kärnten,46.7245654,14.0960054,node,5260941049
Friedlach-Gewerbepark,2,9555,Glanegg,46.7221174,14.2022958,node,5368589242
Dallnigstraße,3,9560,Krahberg,46.722547,14.0797717,node,5373661088
Dallnigstraße,5,9560,Krahberg,46.7224491,14.0796963,node,5373661089
,2,9560,Aich,46.7100634,14.1188191,node,5373661676
,10,9560,Aich,46.7097476,14.1173462,node,5373661677
,2,9560,Rennweg,46.7316129,14.071312,node,5373661679
Panoramastraße,40,9560,Metzing,46.7363284,14.0780683,node,5373661707
,9a,9560,Unterrain,46.7198959,14.0923648,node,5373661712
,22,9560,Powirtschach,46.7388317,14.0869193,node,5373661713
Himmelberger Straße,18,9560,Feldkirchen in Kärnten,46.7258469,14.086878,node,5373661716
Himmelberger Straße,16,9560,Feldkirchen in Kärnten,46.7256142,14.0864862,node,5373661717
Himmelberger Straße,15,9560,Feldkirchen in Kärnten,46.7255094,14.0862428,node,5373661718
Himmelberger Straße,12,9560,Feldkirchen in Kärnten,46.7258125,14.0864338,node,5373661719
Himmelberger Straße,14,9560,Feldkirchen in Kärnten,46.7256778,14.0859535,node,5373661720
Himmelberger Straße,13,9560,Feldkirchen in Kärnten,46.7258334,14.0861118,node,5373662021
Oberer Leitenweg,3,9560,Waiern,46.7332689,14.0885146,node,5373662024
