OSM_ID,OSM_TYPE,NAME,BUILDING,ADDR_STRASSE,ADDR_HAUSNUMMER,ADDR_PLZ,ADDR_ORT,LAT,LON
146898664,way,,house,Hoferweg,30,,,46.72657864,14.108143219999999
146898665,way,,house,Schubertstraße,12,,,46.725160375,14.1011965
146898666,way,,yes,,47,9560,Rabensdorf,46.7175234,14.086739159999999
146898672,way,,yes,Dietrichsteiner Straße,10,,,46.724608939999996,14.106536479999999
146898674,way,,yes,Obere Tiebelgasse,19,9560,Feldkirchen in Kärnten,46.72491468,14.09484434
146898675,way,,house,Glanblickstraße,5,,,46.723252720000005,14.1109846
146898676,way,,yes,Ghega-Allee,2,,,46.72282371428571,14.098988471428571
146898681,way,,house,Dietrichsteiner Straße,26,,,46.72512686,14.10964762
146898683,way,,house,Haydnstraße,3,,,46.724927916666665,14.101893083333332
146898684,way,,yes,St. Veiterstraße,1,,,46.722747399999996,14.100213000000002
146898685,way,,house,Schubertstraße,9,,,46.7244648125,14.1008516
146898688,way,,house,Laboisnerstraße,17,,,46.71785696666667,14.104847755555555
146898693,way,,house,Rangetinerstraße,2,,,46.72487114285715,14.1081795
146898695,way,,house,Erlenweg,3,,,46.72588191111112,14.109616844444444
146898696,way,,house,Hoferweg,12,,,46.72772208,14.10556684
146898697,way,,house,Hangweg,6,,,46.72359994,14.111044699999999
146898700,way,,house,Seeblick,22,,,46.72488222,14.112262859999998
146898701,way,,house,Schubertstraße,11,,,46.72465714999999,14.1009833375
146898705,way,,house,Schubertstraße,14,,,46.725389416666665,14.101349666666666
146898706,way,,yes,,48,9560,Rabensdorf,46.71734756,14.086455020000002
146898707,way,,house,Glanblickstraße,4,,,46.724071620000004,14.11032506
146898708,way,,house,Glanblickstraße,7,,,46.722956520000004,14.11118944
146898712,way,,house,Erlenweg,2,,,46.72604874285714,14.109920371428572
146898715,way,,house,Glanblickstraße,2,,,46.72447093333333,14.109937733333332
146898718,way,,house,Hoferweg,14,,,46.7279018,14.105424039999999
146898722,way,,house,Seeblick,23,,,46.724514246153845,14.1122152
146898724,way,,yes,St. Ruprechter Straße,17,,,46.72425296,14.10099566
146898727,way,,house,Kressengasse,3,9560,Feldkirchen in Kärnten,46.72677564444445,14.105164211111111
146898734,way,,house,Glanblickstraße,3,,,46.72427938,14.11011234
146898735,way,,house,Thomas-Koschat-Weg,11,9560,Feldkirchen in Kärnten,46.728121959999996,14.098149000000001
146898738,way,,yes,Grabenweg,3,,,46.7254425,14.10551572
146898740,way,,yes,,49,9560,Rabensdorf,46.717169659999996,14.0861692
146898741,way,,house,Seeblick,41,,,46.72576560000001,14.111037783333336
146898742,way,,house,Seeblick,7,,,46.723907759999996,14.11247564
146898743,way,,house,Höhenstraße,4,,,46.724583766666676,14.110815683333334
146898745,way,,house,Kressengasse,1,,,46.727117220000004,14.104977580000002
146898747,way,,house,Koglweg,7,,,46.7238366,14.108233274999998
146898748,way,Omega Pharma,commercial,Ossiacherstraße,7,9560,Feldkirchen in Kärnten,46.719413311111104,14.087832044444445
146903763,way,,retail,Villacher Straße,22,9560,Feldkirchen in Kärnten,46.72324825454545,14.088123572727271
146903764,way,,yes,Laboisnerstraße,23,,,46.71661162,14.1061869
